ref_internal_number;ref_order_id;order_id
2/2017/P;17;16
10/2017/W;16;17
4/2017/P;22;8
5/2017/W;8;22
5/2017/PRODUKCJA;28;11
8/2017/W;11;28
6/2017/PRODUKCJA;29;25
15/2017/WYCENA;25;29
7/2017/PRODUKCJA;35;34
22/2017/WYCENA;34;35
8/2017/PRODUKCJA;36;20
12/2017/W;20;36
9/2017/PRODUKCJA;41;40
26/2017/WYCENA;40;41
10/2017/PRODUKCJA;45;19
11/2017/W;19;45
11/2017/PRODUKCJA;46;24
14/2017/W;24;46
12/2017/PRODUKCJA;47;30
18/2017/WYCENA;30;47
13/2017/PRODUKCJA;70;54
33/2017/WYCENA;54;70
14/2017/PRODUKCJA;71;42
27/2017/WYCENA;42;71
15/2017/PRODUKCJA;80;76
47/2017/WYCENA;76;80
16/2017/PRODUKCJA;82;79
50/2017/WYCENA;79;82
17/2017/PRODUKCJA;84;78
49/2017/WYCENA;78;84
18/2017/PRODUKCJA;86;61
37/2017/WYCENA;61;86
20/2017/PRODUKCJA;104;83
52/2017/WYCENA;83;104
21/2017/PRODUKCJA;105;100
66/2017/WYCENA;100;105
22/2017/PRODUKCJA;106;92
59/2017/WYCENA;92;106
23/2017/PRODUKCJA;107;72
44/2017/WYCENA;72;107
24/2017/PRODUKCJA;108;4
3/2017/W;4;108
26/2017/PRODUKCJA;110;43
28/2017/WYCENA;43;110
27/2017/PRODUKCJA;114;113
69/2017/WYCENA;113;114
30/2017/PRODUKCJA;121;73
45/2017/WYCENA;73;121
31/2017/PRODUKCJA;128;65
41/2017/WYCENA;65;128
33/2017/PRODUKCJA;130;83
52/2017/WYCENA;83;130
35/2017/PRODUKCJA;135;27
17/2017/WYCENA;27;135
36/2017/PRODUKCJA;137;132
75/2017/WYCENA;132;137
37/2017/PRODUKCJA;151;148
82/2017/WYCENA;148;151
38/2017/PRODUKCJA;157;96
62/2017/WYCENA;96;157
39/2017/PRODUKCJA;159;81
51/2017/WYCENA;81;96
40/2017/PRODUKCJA;163;162
91/2017/WYCENA;162;163
41/2017/PRODUKCJA;164;139
78/2017/WYCENA;139;164
42/2017/PRODUKCJA;166;161
90/2017/WYCENA;161;166
43/2017/PRODUKCJA;169;168
93/2017/WYCENA;168;169
44/2017/PRODUKCJA;172;170
94/2017/WYCENA;170;172
45/2017/PRODUKCJA;177;146
80/2017/WYCENA;146;177
46/2017/PRODUKCJA;187;186
107/2017/WYCENA;186;187
47/2017/PRODUKCJA;194;193
112/2017/WYCENA;193;194
48/2017/PRODUKCJA;195;192
111/2017/WYCENA;192;195
